"broad_field","field_label","peak_share","peak_year","min_share","start_share","end_share","net_change"
"Computer sciences","CompSci",0.860794812938033,1974,0.605981690396377,0.860794812938033,0.717547164980864,-0.143247647957169
"Engineering","Aero/Astro",0.993963782696177,1979,0.620089641656507,0.993963782696177,0.701355430019793,-0.292608352676384
"Engineering","Bio",0.647397609441681,2009,0.504098384291273,0.545432940735837,0.647397609441681,0.101964668705843
"Engineering","Chem",0.957142857142857,1979,0.504276791128099,0.957142857142857,0.567234414234829,-0.389908442908028
"Engineering","Civil",0.663839001926734,1980,0.499602994574497,0.602941176470588,0.519531294804834,-0.0834098816657546
"Engineering","Elec",0.987331182024621,1979,0.555668292921952,0.987331182024621,0.643074351886055,-0.344256830138566
"Engineering","Eng-other",0.966164030893711,1979,0.462028574079296,0.966164030893711,0.485174001243085,-0.480990029650626
"Engineering","Mats",0.675107635340445,2005,0.563584811279807,0.582056992089353,0.57816374999902,-0.00389324209033337
"Engineering","Mech",0.983384720794793,1979,0.535523476767541,0.983384720794793,0.61867901662641,-0.364705704168383
"Environmental sciences","Atmos",0.988324873096447,1979,0.722165810657829,0.988324873096447,0.724108622543655,-0.264216250552791
"Environmental sciences","Earth",0.98726312519416,1979,0.600900388360326,0.98726312519416,0.66132156470278,-0.325941560491379
"Environmental sciences","Env-Other",0.973939393939394,1979,0.429996236950653,0.973939393939394,0.570598401612115,-0.403340992327279
"Environmental sciences","Ocean",0.987255586592179,1979,0.587102325949944,0.987255586592179,0.587102325949944,-0.400153260642234
"Life sciences","Ag",0.46406162076311,1977,0.287727333409412,0.372808742333773,0.359633825336724,-0.0131749169970488
"Life sciences","Bio",0.808326324173457,1975,0.620811660412614,0.80471534902273,0.655962389047969,-0.148752959974762
"Life sciences","Life-Other",0.773766593329008,1975,0.57154614629384,0.727321590624311,0.57154614629384,-0.15577544433047
"Life sciences","Med",0.74579758584322,1974,0.538753506891138,0.74579758584322,0.589594135674889,-0.15620345016833
"Mathematical sciences","Math",0.891370371867571,1975,0.674916826749811,0.880787399360539,0.760441947929873,-0.120345451430666
"Other sciences","Other",0.635397471234972,1974,0.380483798534777,0.635397471234972,0.40920307141671,-0.226194399818262
"Physical sciences","Astro",0.869471118070322,1985,0.707580831344635,0.825933372708887,0.765035243897767,-0.0608981288111201
"Physical sciences","Chem",0.857772800598881,1974,0.636813180540199,0.857772800598881,0.673691597063603,-0.184081203535278
"Physical sciences","Phys-Other",0.84827741498802,1976,0.521849101623088,0.829428753600189,0.648259538860122,-0.181169214740067
"Physical sciences","Physics",0.921764898718656,1976,0.679366676297863,0.914759347769275,0.757038717231581,-0.157720630537694
"Psychology","Psych",0.833278392421129,1976,0.656547416369888,0.830151692084691,0.707151483696701,-0.12300020838799
"Social sciences","Econ",0.607142058035932,1978,0.379276572962519,0.606386288666589,0.426915459859563,-0.179470828807026
"Social sciences","PoliSci",0.594148858363902,1974,0.28076325820401,0.594148858363902,0.397791770881421,-0.196357087482481
"Social sciences","Soc",0.732910017297912,1980,0.483280882066955,0.629381777654014,0.531147835320949,-0.0982339423330653
"Social sciences","SocSci-Other",0.615522538097702,1974,0.279506725900052,0.615522538097702,0.427669032211472,-0.18785350588623
